,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
419,Los Angeles Police Department,Los Angeles,04/12/2017 - 08:31,"A criminal investigation regarding a threatening email sent to a local school, from the email addresses, IP addresses, and Google number. ",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-13,2017-01-09,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No, 
421,San Bernardino County Sheriff's Department,San Bernardino,04/12/2017 - 13:17,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-27,2017-02-06,will assist in locating an indivigual who has commited a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
424,L.A. IMPACT,Los Angeles,04/13/2017 - 12:29,Narcotics Investigation,Device Only, ,Location information,2017-03-22,2017-04-21,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
425,LAPD,Los Angeles,04/14/2017 - 08:48,Burglary from Motor Vehicle investigation related to subsequent stolen property sold on craigslist through this telephone number.,Business,AT&T,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-01-26,2017-03-09,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
427,LA IMPACT,Los Angeles,04/17/2017 - 11:11,Investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-12-08,2017-01-08,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
428,LA IMPACT,Los Angeles,04/17/2017 - 11:20,Investigation,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-10-25,2016-11-25,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
429,Riverside Sheriff Office,Riverside,04/17/2017 - 11:57,residential burglary investigation. ,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-04-02,2017-04-07,"was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
430,Inglewood Police Department,Los Angeles,04/17/2017 - 12:44,187 P.C. (homicide) investigation.,Business,Metro PCS/ T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-01-11,2017-04-11,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
431,Palm Springs Police Department,Riverside,04/17/2017 - 14:14,"The armed robbery of David Slonim and Brad Oliver that occurred at 2465 E. Palm Canyon, on March 26th, 2017, in violation of section 212.5(b) of the California Penal Code. ",Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-03-31,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
432,San Jose PD,Santa Clara,04/17/2017 - 15:18,On 09/02/2016 a shooting occurred in the area of the 2600 block of Alum Rock Avenue in San Jose.,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-02,2016-10-11,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
435,Sacramento County Sheriff's Department ,Sacramento,04/18/2017 - 10:36,A PEN register and PING search warrant of cellular phone number 562-291-7576 which the holder of the cellular phone was a suspected large scale heroin and methamphetamine dealer based out of San Joaquin and Sacramento Counties ,Device Only, ,"Addressing information (pen register or trap and trace)
Location information
",2017-02-25,2017-03-22,was used as the means of committing a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
